Tags,Meaning
value-type,"In computer science, the term value type is commonly used to refer to one of two kinds of data types: Types of values or Types of objects with deep copy semantics."
microsoft-graph-sdks,Microsoft Graph SDKs refer to a collection of language-specific SDKs for  Microsoft Graph. This tag should generally be used in conjunction with the [microsoft-graph] tag.
locust,Locust is a Python based load testing framework (http://locust.io/)
string-matching,"String matching is the problem of finding occurrences of one string (“pattern”, “needle”) in another (“text”, “haystack”)."
token,"A token is a string of characters, categorized according to the rules as a symbol (e.g., IDENTIFIER, NUMBER, COMMA). The process of forming tokens from an input stream of characters is called tokenization, and the lexer categorizes them according to a symbol type. A token can look like anything that is useful for processing an input text stream or text file."
yaml-front-matter,
imagemap,"Image Map is a list of coordinates relating to a specific image, created in order to hyperlink areas of the image to various destinations. The intention of an image map is to provide an easy way of linking various parts of an image without dividing the image into separate image files."
spring-el,"The Spring Expression Language (SpEL for short) is a powerful expression language that supports querying and manipulating an object graph at runtime. The language syntax is similar to Unified EL but offers additional features, most notably method invocation and basic string templating functionality."
prose-mirror,ProseMirror is an in-browser semantic rich text editor component.
react-konva,react-konva is a JavaScript library for drawing complex canvas graphics using React. It provides declarative and reactive bindings to the Konva Framework.
n-api,
yuv,YUV is a color space typically used as part of a color image pipeline.
presentation-model,
spss,"SPSS is a statistics package. Originally released in 1968, it is currently owned by IBM."
react-router,React Router - A complete routing library for React inspired by Ember&#39;s routing system
ionicons,The premium icon font for Ionic Framework
widget-test-flutter,
ironpdf,
wcf-binding,"The configuration of encoding, protocol and transport detailing how WCF services and clients communicate with each other. This tag is for both the default system-provided bindings, and custom bindings."
cng,CryptoAPI Next Generation (CNG) is the next version of the Windows CryptoAPI available since Vista. It adds NSA Suite B algoritms (including elliptic-curve cryptography) and is FIPS 140-2 certified.
javadoc,Javadoc is an extensible documentation generation system which reads specially formatted comments in Java source code and generates compiled documentation.  It is typically used to produce API documentation in the form of HTML web pages.
